SUMMARY,DTSTART,DTEND,DUE,NOTES,ATTENDEE,LOCATION,PRIORITY,URL,CALENDAR,UID,ORGANIZER,CATEGORIES,DURATION
"University of Florida MD-PhD Program Interview Day","2011-12-15","2011-12-16",,"","","","","",,,,,
"University of Rochester Interview Dates","2011-12-15","2011-12-17",,"","","","","",,,,,
"Hopkins MD-PhD Program Interview Dates","2011-12-15","2011-12-16",,"","","","","",,,,,
"U Utah MD-PhD Program's Interview Days","2011-12-15","2011-12-18",,"","","","","",,,,,
"UVA Interview Days","2011-12-15","2011-12-17",,"","","","","",,,,,
"U Cincinnati MD-PhD Program's Interview Days","2011-12-15","2011-12-18",,"","","","","",,,,,
"Vanderbilt tentative interview dates","2011-12-16","2011-12-17",,"","","","","",,,,,
"U Miami MD-PhD Interview Day","2011-12-16","2011-12-17",,"","","","","",,,,,
"Med U South Carolina MD-PhD Interview Day","2011-12-16","2011-12-17",,"","","","","",,,,,
"Iowa MSTP Interview Dates","2011-12-16","2011-12-18",,"","","","","",,,,,
"WUSTL MD-PhD Interview Date","2011-12-16","2011-12-17",,"","","","","",,,,,
"Hopkins MD-PhD Program Interview Dates","2011-12-16","2011-12-17",,"","","","","",,,,,
"AECOM MD-PhD Interview Day","2011-12-16","2011-12-17",,"","","","","",,,,,
"U Cincinnati MD-PhD Program Interview Day","2011-12-16","2011-12-17",,"","","","","",,,,,
"Columbia MD-PhD Interview Day","2011-12-16","2011-12-17",,"","","","","",,,,,
"Wayne State MD-PhD Program Interview Days","2011-12-18","2011-12-20",,"","","","","",,,,,
"U MN MD-PhD Interview Day","2011-12-19","2011-12-20",,"","","","","",,,,,
"Christmas","2011-12-25","2011-12-26",,"","","","","",,,,,
"Oregon MD-PhD Interview Day","2011-12-28","2011-12-30",,"","","","","",,,,,
"Oregon MD-PhD Interview Day","2012-01-04","2012-01-06",,"","","","","",,,,,
"U Penn MD-PhD Interview Day","2012-01-05","2012-01-07",,"","","","","",,,,,
"UC San Diego MD-PhD Interview Day","2012-01-05","2012-01-06",,"","","","","",,,,,
"Hopkins MD-PhD Program Interview Dates","2012-01-05","2012-01-06",,"","","","","",,,,,
"Vanderbilt MD-PhD Interview Days","2012-01-05","2012-01-08",,"","","","","",,,,,
"U Texas @ Houston MD-PhD Interview Day","2012-01-05","2012-01-06",,"","","","","",,,,,
"Medical College of Wisconsin MD-PhD Interview Days","2012-01-05","2012-01-07",,"","","","","",,,,,
"CWRU MD-PhD Interview Days","2012-01-05","2012-01-07",,"","","","","",,,,,
"Mount Sinai MD-PhD Program Interview Days","2012-01-05","2012-01-07",,"","","","","",,,,,
"U Washington MD-PhD Interview Days","2012-01-05","2012-01-08",,"","","","","",,,,,
"U California, Irvine MD-PhD Program Interview Day","2012-01-05","2012-01-06",,"","","","","",,,,,
"University of Nebraska MD-PhD Program Interview Dates","2012-01-05","2012-01-06",,"","","","","",,,,,
"Ohio State MD-PhD Interview Days","2012-01-05","2012-01-08",,"","","","","",,,,,
"University of Florida MD-PhD Program Interview Day","2012-01-05","2012-01-06",,"","","","","",,,,,
"Duke MD-PhD Interview Day","2012-01-05","2012-01-06",,"","","","","",,,,,
"Baylor COM MD-PhD Interview Day","2012-01-06","2012-01-07",,"","","","","",,,,,
"Boston University MD-PhD Program Interview Day","2012-01-06","2012-01-07",,"","","","","",,,,,
"Hopkins MD-PhD Program Interview Dates","2012-01-06","2012-01-07",,"","","","","",,,,,
"WUSTL MD-PhD Interview Date","2012-01-06","2012-01-07",,"","","","","",,,,,
"AECOM MD-PhD Interview Day","2012-01-06","2012-01-07",,"","","","","",,,,,
"UC Denver MSTP Interview Dates","2012-01-06","2012-01-07",,"","","","","",,,,,
"Mayo Clinic MD-PhD Program Interview Days","2012-01-06","2012-01-08",,"","","","","",,,,,
"UCSF MD-PhD Interview Day","2012-01-06","2012-01-07",,"","","","","",,,,,
"Med U South Carolina MD-PhD Interview Day","2012-01-06","2012-01-07",,"","","","","",,,,,
"Columbia MD-PhD Interview Day","2012-01-06","2012-01-07",,"","","","","",,,,,
"Penn State MD-PhD Interview Dates","2012-01-08","2012-01-10",,"","","","","",,,,,
"U Conn MD-PhD Program Interview Day","2012-01-08","2012-01-10",,"","","","","",,,,,
"Yale MD-PhD Program Interview Dates","2012-01-09","2012-01-11",,"","","","","",,,,,
"U Illinois at Chicaco MSTP Interview Day","2012-01-09","2012-01-10",,"","","Chicaco MSTP Interview Day","","",,,,,
"Emory MSTP Interview Dates","2012-01-09","2012-01-11",,"","","","","",,,,,
"Virginia Commonwealth U MD-PhD Program Interview Days","2012-01-09","2012-01-11",,"","","","","",,,,,
"Harvard MD-PhD Interview Day","2012-01-10","2012-01-11",,"","","","","",,,,,
"UCSF MD-PhD Interview Day","2012-01-10","2012-01-11",,"","","","","",,,,,
"Thomas Jefferson U MD-PhD Interview Days","2012-01-10","2012-01-12",,"","","","","",,,,,
"UAB MSTP Interview Dates","2012-01-11","2012-01-14",,"","","Birmingham, AL","","",,,,,
"Wake Forest MD-PhD Program Interview Days","2012-01-11","2012-01-13",,"","","","","",,,,,
"Dartmouth MD-PhD Interview Day","2012-01-11","2012-01-12",,"","","","","",,,,,
"Oregon MD-PhD Interview Day","2012-01-11","2012-01-13",,"","","","","",,,,,
"Tufts MD-PhD Interview Day","2012-01-11","2012-01-12",,"","","","","",,,,,
"University of Buffalo MSTP Interviews","2012-01-11","2012-01-12",,"","","","","",,,,,
"Indiana University SOM MD-PhD Program Interview Days","2012-01-11","2012-01-12",,"","","","","",,,,,
"U Penn MD-PhD Interview Day","2012-01-12","2012-01-14",,"","","","","",,,,,
"Hopkins MD-PhD Program Interview Dates","2012-01-12","2012-01-13",,"","","","","",,,,,
"Duke MD-PhD Interview Day","2012-01-12","2012-01-13",,"","","","","",,,,,
"University of Rochester Interview Dates","2012-01-12","2012-01-14",,"","","","","",,,,,
"Loyola University of Chicago MD-PhD Interview Days","2012-01-12","2012-01-14",,"","","","","",,,,,
"U Kansas MD-PhD Interview Days","2012-01-12","2012-01-14",,"","","","","",,,,,
"Stony Brook MD-PhD Revisit Day","2012-01-12","2012-01-14",,"","","","","",,,,,
"U MN MD-PhD Interview Day","2012-01-13","2012-01-14",,"","","","","",,,,,
"Hopkins MD-PhD Program Interview Dates","2012-01-13","2012-01-14",,"","","","","",,,,,
"Iowa MSTP Interview Dates","2012-01-13","2012-01-15",,"","","","","",,,,,
"WUSTL MD-PhD Interview Date","2012-01-13","2012-01-14",,"","","","","",,,,,
"Boston University MD-PhD Program Interview Day","2012-01-13","2012-01-14",,"","","","","",,,,,
"SUNY Upstate Medical University MD-PhD Program Interview Day","2012-01-15","2012-01-18",,"","","","","",,,,,
"U Chicago MD-PhD Interview Days (tentative)","2012-01-16","2012-01-19",,"","","","","",,,,,
"UAB MSTP Interview Dates","2012-01-18","2012-01-21",,"","","Birmingham, AL","","",,,,,
"UCSF MD-PhD Interview Day","2012-01-18","2012-01-19",,"","","","","",,,,,
"University of Buffalo MSTP Interviews","2012-01-18","2012-01-19",,"","","","","",,,,,
"IIndiana University SOM MD-PhD Program Interview Days","2012-01-18","2012-01-19",,"","","","","",,,,,
"Tufts MD-PhD Interview Day","2012-01-18","2012-01-19",,"","","","","",,,,,
"Northwestern MD-PhD Program Interview Day","2012-01-18","2012-01-20",,"","","","","",,,,,
"University of Florida MD-PhD Program Interview Day","2012-01-19","2012-01-20",,"","","","","",,,,,
"UCLA-Caltech MD-PhD Program Interview Days","2012-01-19","2012-01-21",,"","","","","",,,,,
"Medical College of Wisconsin MD-PhD Interview Days","2012-01-19","2012-01-21",,"","","","","",,,,,
"Hopkins MD-PhD Program Interview Dates","2012-01-19","2012-01-20",,"","","","","",,,,,
"Duke MD-PhD Interview Day","2012-01-19","2012-01-20",,"","","","","",,,,,
"UVA Interview Days","2012-01-19","2012-01-21",,"","","","","",,,,,
"U Michigan MD-PhD Interview Days","2012-01-19","2012-01-21",,"","","","","",,,,,
"AECOM MD-PhD Interview Day","2012-01-20","2012-01-21",,"","","","","",,,,,
"UCSF MD-PhD Interview Day","2012-01-20","2012-01-21",,"","","","","",,,,,
"Boston University MD-PhD Program Interview Day","2012-01-20","2012-01-21",,"","","","","",,,,,
"Med U South Carolina MD-PhD Interview Day","2012-01-20","2012-01-21",,"","","","","",,,,,
"UC Denver MSTP Interview Dates","2012-01-20","2012-01-21",,"","","","","",,,,,
"Hopkins MD-PhD Program Interview Dates","2012-01-20","2012-01-21",,"","","","","",,,,,
"Mayo Clinic MD-PhD Program Interview Days","2012-01-20","2012-01-22",,"","","","","",,,,,
"UNC Chapel Hill MD-PhD Interview Dates","2012-01-21","2012-01-24",,"","","","","",,,,,
"St Louis University MD-PhD Interview Days","2012-01-21","2012-01-24",,"","","","","",,,,,
"Iowa MD-PhD Interview Day","2012-01-22","2012-01-24",,"","","","","",,,,,
"U Conn MD-PhD Program Interview Day","2012-01-22","2012-01-24",,"","","","","",,,,,
"Yale MD-PhD Program Interview Dates","2012-01-23","2012-01-25",,"","","","","",,,,,
"University of Maryland MSTP Interview Days","2012-01-23","2012-01-25",,"","","","","",,,,,
"Mount Sinai MD-PhD Program Interview Days","2012-01-23","2012-01-25",,"","","","","",,,,,
"UNC MD-PhD Interview Dates","2012-01-23","2012-01-24",,"","","","","",,,,,
"Virginia Commonwealth U MD-PhD Program Interview Days","2012-01-23","2012-01-25",,"","","","","",,,,,
"UCSF MD-PhD Interview Day","2012-01-24","2012-01-25",,"","","","","",,,,,
"Harvard MD-PhD Interview Day","2012-01-24","2012-01-25",,"","","","","",,,,,
"Wake Forest MD-PhD Interview Days","2012-01-25","2012-01-27",,"","","","","",,,,,
"Dartmouth MD-PhD Interview Day","2012-01-25","2012-01-26",,"","","","","",,,,,
"Tufts MD-PhD Interview Day","2012-01-25","2012-01-26",,"","","","","",,,,,
"University of Buffalo MSTP Interviews","2012-01-25","2012-01-26",,"","","","","",,,,,
"UC San Diego MD-PhD Interview Day","2012-01-26","2012-01-27",,"","","","","",,,,,
"U Mass MD-PhD Interview Days","2012-01-26","2012-01-28",,"","","","","",,,,,
"Duke MD-PhD Interview Day","2012-01-26","2012-01-27",,"","","","","",,,,,
"CWRU MD-PhD Interview Days","2012-01-26","2012-01-28",,"","","","","",,,,,
"University of Rochester Interview Dates","2012-01-26","2012-01-28",,"","","","","",,,,,
"Loyola University of Chicago MD-PhD Interview Days","2012-01-26","2012-01-28",,"","","","","",,,,,
"University of Florida MD-PhD Program Interview Day","2012-01-26","2012-01-27",,"","","","","",,,,,
"U Utah MD-PhD Program Interview Days","2012-01-26","2012-01-29",,"","","","","",,,,,
"U Miami MD-PhD Interview Day","2012-01-27","2012-01-28",,"","","","","",,,,,
"U MN MD-PhD Interview Day","2012-01-27","2012-01-28",,"","","","","",,,,,
"U Texas @ Houston MD-PhD Program Revisit Days","2012-01-27","2012-01-30",,"","","","","",,,,,
"Baylor COM MD-PhD Interview Day","2012-01-27","2012-01-28",,"","","","","",,,,,
"Boston University MD-PhD Program Interview Day","2012-01-27","2012-01-28",,"","","","","",,,,,
"WUSTL MD-PhD Interview Date","2012-01-27","2012-01-28",,"","","","","",,,,,
"UC Denver MSTP Interview Dates","2012-01-27","2012-01-28",,"","","","","",,,,,
"St Louis University MD-PhD Interview Days","2012-01-28","2012-01-31",,"","","","","",,,,,
"UNC Chapel Hill MD-PhD Interview Dates","2012-01-28","2012-01-31",,"","","","","",,,,,
"Penn State MD-PhD Interview Dates","2012-01-29","2012-01-30",,"","","","","",,,,,
"U Illinois @ Chicago MSTP Interview Day","2012-01-30","2012-01-31",,"","","","","",,,,,
"U Cincinnati MD-PhD Revisit Days","2012-01-30","2012-02-02",,"","","","","",,,,,
"Harvard MD-PhD Interview Day","2012-01-31","2012-02-01",,"","","","","",,,,,
"UCSF MD-PhD Interview Day","2012-01-31","2012-02-01",,"","","","","",,,,,
"University of Buffalo MSTP Interviews","2012-02-01","2012-02-02",,"","","","","",,,,,
"University of Florida MD-PhD Program Interview Day","2012-02-02","2012-02-03",,"","","","","",,,,,
"Vanderbilt MD-PhD Interview Days","2012-02-02","2012-02-05",,"","","","","",,,,,
"UVA Interview Days","2012-02-02","2012-02-04",,"","","","","",,,,,
"Medical College of Wisconsin MD-PhD Interview Days","2012-02-02","2012-02-04",,"","","","","",,,,,
"Mayo Clinic MD-PhD Program Interview Days","2012-02-03","2012-02-05",,"","","","","",,,,,
"UC Denver MSTP Interview Dates","2012-02-03","2012-02-04",,"","","","","",,,,,
"Boston University MD-PhD Program Interview Day","2012-02-03","2012-02-04",,"","","","","",,,,,
"Med U South Carolina MD-PhD Interview Day","2012-02-03","2012-02-04",,"","","","","",,,,,
"U Texas @ Houston MD-PhD Program Revisit Days","2012-02-03","2012-02-06",,"","","","","",,,,,
"St Louis University MD-PhD Interview Days","2012-02-04","2012-02-07",,"","","","","",,,,,
"Emory MSTP Interview Dates","2012-02-06","2012-02-08",,"","","","","",,,,,
"U Missouri - Columbia MD-PhD Program Interview Day","2012-02-06","2012-02-07",,"","","","","",,,,,
"Virginia Commonwealth U MD-PhD Program Interview Days","2012-02-06","2012-02-08",,"","","","","",,,,,
"Yale MD-PhD Program Interview Dates","2012-02-06","2012-02-08",,"","","","","",,,,,
"Mount Sinai MD-PhD Program Interview Days","2012-02-06","2012-02-08",,"","","","","",,,,,
"UCSF MD-PhD Interview Day","2012-02-07","2012-02-08",,"","","","","",,,,,
"U California, Irvine MD-PhD Program Interview Day","2012-02-07","2012-02-08",,"","","","","",,,,,
"U Missouri - Columbia MD-PhD Program Interview Day","2012-02-07","2012-02-08",,"","","","","",,,,,
"Dartmouth MD-PhD Interview Day","2012-02-08","2012-02-09",,"","","","","",,,,,
"University of Buffalo MSTP Interviews","2012-02-08","2012-02-09",,"","","","","",,,,,
"UCLA-Caltech MD-PhD Program Interview Days","2012-02-09","2012-02-11",,"","","","","",,,,,
"University of Florida MD-PhD Program Interview Day","2012-02-09","2012-02-10",,"","","","","",,,,,
"U Utah MD-PhD Program Interview Days","2012-02-09","2012-02-12",,"","","","","",,,,,
"Yale MD-PhD Program Interview Dates","2012-02-13","2012-02-15",,"","","","","",,,,,
"U Missouri - Columbia MD-PhD Program Interview Day","2012-02-13","2012-02-14",,"","","","","",,,,,
"U Missouri - Columbia MD-PhD Program Interview Day","2012-02-14","2012-02-15",,"","","","","",,,,,
"UCSF MD-PhD Interview Day","2012-02-14","2012-02-15",,"","","","","",,,,,
"Indiana University SOM MD-PhD Program Interview Days","2012-02-15","2012-02-16",,"","","","","",,,,,
"University of Buffalo MSTP Interviews","2012-02-15","2012-02-16",,"","","","","",,,,,
"CWRU MD-PhD Interview Days","2012-02-16","2012-02-18",,"","","","","",,,,,
"U Washington MD-PhD Interview Days","2012-02-16","2012-02-19",,"","","","","",,,,,
"Indiana University SOM MD-PhD Program Revisit Days","2012-02-16","2012-02-19",,"","","","","",,,,,
"Stony Brook MD-PhD Revisit Day","2012-02-16","2012-02-18",,"","","","","",,,,,
"Medical College of Wisconsin MD-PhD Interview Days","2012-02-16","2012-02-18",,"","","","","",,,,,
"Mayo Clinic MD-PhD Program Interview Days","2012-02-17","2012-02-19",,"","","","","",,,,,
"U Texas @ Houston MD-PhD Program Revisit Days","2012-02-17","2012-02-20",,"","","","","",,,,,
"U Conn MD-PhD Program Interview Day","2012-02-19","2012-02-21",,"","","","","",,,,,
"Virginia Commonwealth U MD-PhD Program Interview Days","2012-02-20","2012-02-22",,"","","","","",,,,,
"UW-Madison Interview Days","2012-02-20","2012-02-22",,"","","","","",,,,,
"Yale MD-PhD Program Interview Dates","2012-02-20","2012-02-22",,"","","","","",,,,,
"UT San Antonio MD-PhD Program's Revisit Day","2012-02-20","2012-02-22",,"","","","","",,,,,
"Oregon MD-PhD Interview Day","2012-02-22","2012-02-24",,"","","","","",,,,,
"University of Buffalo MSTP Interviews","2012-02-22","2012-02-23",,"","","","","",,,,,
"NIH MD-PhD Partnership Training Program Interview Days","2012-02-22","2012-02-24",,"","","","","",,,,,
"U California, Irvine MD-PhD Program Interview Day","2012-02-23","2012-02-24",,"","","","","",,,,,
"U Mass MD-PhD Interview Days","2012-02-23","2012-02-25",,"","","","","",,,,,
"University of Florida MD-PhD Program Interview Day","2012-02-23","2012-02-24",,"","","","","",,,,,
"UT Southwestern Medical Center/Dallas MD-PhD Revisit Dates","2012-02-23","2012-02-26",,"","","","","",,,,,
"Vanderbilt MD-PhD Interview Days","2012-02-23","2012-02-26",,"","","","","",,,,,
"U Utah MD-PhD Program Interview Days","2012-02-23","2012-02-26",,"","","","","",,,,,
"U Illinois @ Chicago MSTP Interview Day","2012-02-27","2012-02-28",,"","","","","",,,,,
"Med U South Carolina MD-PhD Revisit Days","2012-02-27","2012-02-29",,"","","","","",,,,,
"UT San Antonio MD-PhD Program's Revisit Day","2012-02-27","2012-02-29",,"","","","","",,,,,
"Stony Brook MD-PhD Program Revisit Day","2012-02-27","2012-02-29",,"","","","","",,,,,
"Dartmouth MD-PhD Interview Day","2012-02-29","2012-03-01",,"","","","","",,,,,
"University of Buffalo MSTP Interviews","2012-02-29","2012-03-01",,"","","","","",,,,,
"U Washington MD-PhD Interview Days","2012-03-01","2012-03-04",,"","","","","",,,,,
"Medical College of Wisconsin MD-PhD Interview Days","2012-03-01","2012-03-03",,"","","","","",,,,,
"University of Florida MD-PhD Program Interview Day","2012-03-01","2012-03-02",,"","","","","",,,,,
"Chicago Medical School Interview Date","2012-03-02","2012-03-03",,"","","","","",,,,,
"Stony Brook MD-PhD Program Revisit Day","2012-03-05","2012-03-07",,"","","","","",,,,,
"University of Buffalo MSTP Interviews","2012-03-07","2012-03-08",,"","","","","",,,,,
"University of Florida MD-PhD Program Interview Day","2012-03-08","2012-03-09",,"","","","","",,,,,
"U of Alabama, Birmingham MD-PhD Revisit Days","2012-03-08","2012-03-11",,"","","","","",,,,,
"U Texas @ Houston MD-PhD Program Revisit Days (back up if needed)","2012-03-09","2012-03-12",,"","","","","",,,,,
"LSU/New Orleans MD-PhD Interview Day","2012-03-09","2012-03-10",,"","","","","",,,,,
"Stony Brook MD-PhD Program Revisit Day","2012-03-12","2012-03-14",,"","","","","",,,,,
"Med U South Carolina MD-PhD Revisit Days","2012-03-12","2012-03-14",,"","","","","",,,,,
"U California, Irvine MD-PhD Program Interview Day (tentative)","2012-03-14","2012-03-15",,"","","","","",,,,,
"Oregon MD-PhD Interview Day","2012-03-14","2012-03-16",,"","","","","",,,,,
"DEADLINE - MD-PhD Programs to make acceptance offers equal to the expected size of the incoming class","2012-03-15","2012-03-16",,"","","","","",,,,,
"University of Florida MD-PhD Program Interview Day","2012-03-15","2012-03-16",,"","","","","",,,,,
"Medical College of Wisconsin MD-PhD Interview Days","2012-03-22","2012-03-24",,"","","","","",,,,,
"AECOM MD-PhD Revisit Day","2012-03-23","2012-03-24",,"","","","","",,,,,
"U Missouri - Columbia MD-PhD Program Second Look Day","2012-03-24","2012-03-25",,"","","","","",,,,,
"U MN MD-PhD Revisit Days","2012-03-25","2012-03-27",,"","","","","",,,,,
"Emory MSTP Revisit Dates","2012-03-26","2012-03-28",,"","","","","",,,,,
"Stony Brook MD-PhD Revisit Days","2012-03-26","2012-03-28",,"","","","","",,,,,
"Baylor COM MD-PhD Revisit Days and Symposium","2012-03-29","2012-04-01",,"","","","","",,,,,
"Virginia Commonwealth University MD-PhD Program's Revisit Days","2012-03-29","2012-03-31",,"","","","","",,,,,
"Iowa MD-PhD Revisit Dates","2012-03-30","2012-04-01",,"","","","","",,,,,
